"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testH2Headers","testH2Headers",""
"passed","Mon Jul 24 21:20:05 GMT 2023","Mon Jul 24 21:20:16 GMT 2023","11588","Surefire suite","Surefire test","tests.WidgetsTest","tests.WidgetsTest","testAllWidgetsDisplayChosenCity","testAllWidgetsDisplayChosenCity",""
"passed","Mon Jul 24 21:14:18 GMT 2023","Mon Jul 24 21:14:26 GMT 2023","8324","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testFacebookIconNavigatesToFacebookWeb","testFacebookIconNavigatesToFacebookWeb",""
"passed","Mon Jul 24 21:30:01 GMT 2023","Mon Jul 24 21:30:11 GMT 2023","9604","Surefire suite","Surefire test","tests.HomeZipCodeDataNewTest","tests.HomeZipCodeDataNewTest","testWeatherParametersAreDisplayed","testWeatherParametersAreDisplayed",""
"passed","Mon Jul 24 21:25:52 GMT 2023","Mon Jul 24 21:25:59 GMT 2023","7680","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testDayListTempInC_WhenSwitchingToMetric","testDayListTempInC_WhenSwitchingToMetric",""
"passed","Mon Jul 24 21:16:22 GMT 2023","Mon Jul 24 21:16:29 GMT 2023","7930","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testFooterMenuLinksNavigateToCorrespondingPages","testFooterMenuLinksNavigateToCorrespondingPages",""
"passed","Mon Jul 24 21:09:22 GMT 2023","Mon Jul 24 21:09:30 GMT 2023","8151","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testFAQSupportSubmenuNavigatesToFAQPage","testFAQSupportSubmenuNavigatesToFAQPage",""
"passed","Mon Jul 24 21:11:38 GMT 2023","Mon Jul 24 21:11:48 GMT 2023","10325","Surefire suite","Surefire test","tests.HomeHistoryBulksNewTest","tests.HomeHistoryBulksNewTest","testWeatherParametersAreSelectedByDefault","testWeatherParametersAreSelectedByDefault",""
"passed","Mon Jul 24 21:26:33 GMT 2023","Mon Jul 24 21:26:40 GMT 2023","7385","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testH1HeaderColorAndFontSize","testH1HeaderColorAndFontSize",""
"passed","Mon Jul 24 21:26:40 GMT 2023","Mon Jul 24 21:26:49 GMT 2023","8120","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testIconsHighlighted_OnDifferentWeatherPopUp","testIconsHighlighted_OnDifferentWeatherPopUp",""
"passed","Mon Jul 24 21:06:04 GMT 2023","Mon Jul 24 21:06:19 GMT 2023","14565","Surefire suite","Surefire test","tests.GuideTest","tests.GuideTest","testHomeLinkNavigatesToBaseURL","testHomeLinkNavigatesToBaseURL",""
"passed","Mon Jul 24 21:28:17 GMT 2023","Mon Jul 24 21:28:28 GMT 2023","10970","Surefire suite","Surefire test","tests.HomeZipCodeDataNewTest","tests.HomeZipCodeDataNewTest","testBillingDetailsWhenFillingIndividualForms","testBillingDetailsWhenFillingIndividualForms",""
"passed","Mon Jul 24 21:16:30 GMT 2023","Mon Jul 24 21:16:38 GMT 2023","8279","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testFooterMenuLinksNavigateToCorrespondingPages","testFooterMenuLinksNavigateToCorrespondingPages",""
"passed","Mon Jul 24 21:06:45 GMT 2023","Mon Jul 24 21:06:53 GMT 2023","8006","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testCompanyLogoNavigatesToBaseURL","testCompanyLogoNavigatesToBaseURL",""
"passed","Mon Jul 24 21:06:19 GMT 2023","Mon Jul 24 21:06:27 GMT 2023","7921","Surefire suite","Surefire test","tests.GuideTest","tests.GuideTest","testLearnMoreButtonsAmount","testLearnMoreButtonsAmount",""
"passed","Mon Jul 24 21:17:05 GMT 2023","Mon Jul 24 21:17:13 GMT 2023","8372","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testOurTechnologyFooterLinkNavigatesToTechnologyPage","testOurTechnologyFooterLinkNavigatesToTechnologyPage",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","1","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testCopyrightOnFooterMenu","testCopyrightOnFooterMenu",""
"passed","Mon Jul 24 21:18:10 GMT 2023","Mon Jul 24 21:18:19 GMT 2023","8825","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testWidgetsFooterLinkNavigatesToWidgetsPage","testWidgetsFooterLinkNavigatesToWidgetsPage",""
"passed","Mon Jul 24 21:10:50 GMT 2023","Mon Jul 24 21:10:57 GMT 2023","7241","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testPlaceholderIsAvailable_TopMenu","testPlaceholderIsAvailable_TopMenu",""
"passed","Mon Jul 24 21:19:55 GMT 2023","Mon Jul 24 21:20:05 GMT 2023","9896","Surefire suite","Surefire test","tests.UserTopMenuTest","tests.UserTopMenuTest","testUserTopMenusAmount","testUserTopMenusAmount",""
